Positions and values of non-FF bytes:
Offset: 0x00000000, Value: 0x45 (69)
Offset: 0x00000001, Value: 0x38 (56)
Offset: 0x00000002, Value: 0x30 (48)
Offset: 0x00000003, Value: 0x33 (51)
Offset: 0x00000004, Value: 0x30 (48)
Offset: 0x00000005, Value: 0x2d (45)
Offset: 0x00000006, Value: 0x36 (54)
Offset: 0x00000007, Value: 0x36 (54)
Offset: 0x00000008, Value: 0x34 (52)
Offset: 0x00000009, Value: 0x32 (50)
Offset: 0x0000000a, Value: 0x33 (51)
Offset: 0x0000000b, Value: 0x00 (0)
Offset: 0x0000000c, Value: 0x19 (25)
Offset: 0x0000000d, Value: 0x32 (50)
Offset: 0x0000000e, Value: 0x2c (44)
Offset: 0x0000000f, Value: 0x3d (61)
Offset: 0x00000010, Value: 0x34 (52)
Offset: 0x00000011, Value: 0x3d (61)
Offset: 0x00000012, Value: 0x00 (0)
Offset: 0x00000013, Value: 0x00 (0)
Offset: 0x00000018, Value: 0x00 (0)
Offset: 0x00000019, Value: 0x05 (5)
Offset: 0x0000001a, Value: 0x45 (69)
Offset: 0x0000001b, Value: 0x38 (56)
Offset: 0x0000001c, Value: 0x30 (48)
Offset: 0x0000001d, Value: 0x33 (51)
Offset: 0x0000001e, Value: 0x30 (48)
Offset: 0x0000001f, Value: 0x2d (45)
Offset: 0x00000020, Value: 0x36 (54)
Offset: 0x00000021, Value: 0x36 (54)
Offset: 0x00000022, Value: 0x36 (54)
Offset: 0x00000023, Value: 0x32 (50)
Offset: 0x00000024, Value: 0x30 (48)
Offset: 0x00000025, Value: 0x20 (32)
Offset: 0x00000026, Value: 0x30 (48)
Offset: 0x00000027, Value: 0x31 (49)
Offset: 0x00000028, Value: 0x32 (50)
Offset: 0x00000029, Value: 0x20 (32)
Offset: 0x0000002a, Value: 0x5a (90)
Offset: 0x0000002b, Value: 0x5a (90)
Offset: 0x0000002c, Value: 0x20 (32)
Offset: 0x0000002d, Value: 0x31 (49)
Offset: 0x0000002e, Value: 0x33 (51)
Offset: 0x0000002f, Value: 0x30 (48)
Offset: 0x00000030, Value: 0x20 (32)
Offset: 0x00000031, Value: 0x30 (48)
Offset: 0x00000032, Value: 0x32 (50)
Offset: 0x00000033, Value: 0x36 (54)
Offset: 0x00000034, Value: 0x36 (54)
Offset: 0x00000035, Value: 0x37 (55)
Offset: 0x00000036, Value: 0x34 (52)
Offset: 0x00000037, Value: 0x00 (0)
Offset: 0x00000038, Value: 0x00 (0)
Offset: 0x00000039, Value: 0x00 (0)
Offset: 0x000001d0, Value: 0x01 (1)
Offset: 0x000001d1, Value: 0x01 (1)
Offset: 0x000001d2, Value: 0x00 (0)
Offset: 0x000001d3, Value: 0x1a (26)
Offset: 0x000001d4, Value: 0x00 (0)
Offset: 0x000001d5, Value: 0x00 (0)
Offset: 0x000001d8, Value: 0x00 (0)
Offset: 0x000001d9, Value: 0x00 (0)
Offset: 0x000001da, Value: 0x00 (0)
Offset: 0x000001db, Value: 0x00 (0)
Offset: 0x000001dc, Value: 0x00 (0)
Offset: 0x000001dd, Value: 0x00 (0)
Offset: 0x000001de, Value: 0xdf (223)
Offset: 0x000001df, Value: 0xd4 (212)
Offset: 0x000001e0, Value: 0x00 (0)
Offset: 0x000001e1, Value: 0x40 (64)
Offset: 0x000001e2, Value: 0x48 (72)
Offset: 0x000001e3, Value: 0x20 (32)
Offset: 0x000001f4, Value: 0x00 (0)
Offset: 0x000001f5, Value: 0x0c (12)
Offset: 0x000001f6, Value: 0x0d (13)
Offset: 0x000001f7, Value: 0x81 (129)
Offset: 0x000001f8, Value: 0x00 (0)
Offset: 0x000001f9, Value: 0x01 (1)
Offset: 0x000001fa, Value: 0xd2 (210)
Offset: 0x000001fb, Value: 0x1c (28)
Offset: 0x000001fd, Value: 0xdf (223)
Offset: 0x000001fe, Value: 0x5a (90)
Offset: 0x000001ff, Value: 0x5a (90)
Offset: 0x000007fc, Value: 0x04 (4)
Offset: 0x000007fd, Value: 0x12 (18)
Offset: 0x000007fe, Value: 0x21 (33)
Offset: 0x000007ff, Value: 0x33 (51)
Offset: 0x000009b8, Value: 0x00 (0)
Offset: 0x000009b9, Value: 0x70 (112)
Offset: 0x000009ba, Value: 0x08 (8)
Offset: 0x000009bb, Value: 0x4b (75)
Offset: 0x000009bc, Value: 0x3c (60)
Offset: 0x000009bd, Value: 0x63 (99)
Offset: 0x000009be, Value: 0x3e (62)
